name,address,cuisine,latitude,longitude
Runner Up,"499 11th St., Brooklyn, 11215, USA","$$ · American, Contemporary",40.665678,-73.982321
TVB by: Pax Romana,"171 E. Post Rd., White Plains, 10601, USA","$$ · Italian, Roman",41.029293,-73.764908
Tatiana,"10 Lincoln Center Plz., New York, 10023, USA","$$$ · Fusion, American",40.772772,-73.98284
Casa Ora,"148 Meserole St., Brooklyn, 11206, USA","$$$ · Venezuelan, Latin American",40.70789,-73.943755
Thai Diner,"186 Mott St., New York, 10012, USA","$$ · Thai, Fusion",40.720729,-73.995676
Clover Hill,"20 Columbia Pl., Brooklyn, 11201, USA","$$$$ · Contemporary, Latin American",40.693151,-73.99871
Il Fiorista,"17 W. 26th St., New York, 10010, USA","$$$ · Contemporary, Mediterranean Cuisine",40.744129,-73.989549
Don Angie,"103 Greenwich Ave., New York, 10014, USA","$$$ · Italian, American",40.737797,-74.00201
Moody Tongue Sushi,"150 W. 10th St., New York, 10014, USA","$$$$ · Sushi, Contemporary",40.734427,-74.001191
Hav & Mar,"245 Eleventh Ave., New York, 10001, USA","$$$ · Ethiopian, Fusion",40.75099,-74.00572
Boro6 Wine Bar,"549 Warburton Ave., Hastings-on-Hudson, 10706, USA","$$ · Contemporary, Italian",40.995014,-73.882492
Blue Hill at Stone Barns,"630 Bedford Rd., Tarrytown, 10591, USA","$$$$ · American, Contemporary",41.09477,-73.83731
Ammazzacaffè,"702 Grand St., Brooklyn, 11211, USA","$$$ · Italian, Contemporary",40.711393,-73.944609
Soda Club,"95 Avenue A, New York, 10009, USA","$$ · Vegan, Italian-American",40.725646,-73.984077
Meju,"5-28 49th Ave., Queens, 11101, USA","$$$$ · Korean, Regional Cuisine",40.743515,-73.955234
Ito,"75 Barclay St., New York, 10007, USA","$$$$ · Japanese, Sushi",40.71312,-74.01027
Altro Paradiso,"234 Spring St., New York, 10013, USA",$$$ · Italian,40.725482,-74.004891
Van Đa,"234 E. 4th St., New York, 10009, USA","$$ · Vietnamese, Modern Cuisine",40.723356,-73.983109
Sushi Nakazawa,"23 Commerce St., New York, 10014, USA","$$$$ · Japanese, Sushi",40.731746,-74.00453
Aquavit,"65 E. 55th St., New York, 10022, USA","$$$$ · Scandinavian, Contemporary",40.760828,-73.97221
Kubeh,"464 Sixth Ave., New York, 10011, USA",$$ · Middle Eastern,40.735439,-73.998025
Le B,"283 W. 12th St., New York, 10014, USA","$$$$ · Classic French, Asian",40.73766,-74.004011
Aska,"47 S. 5th St., Brooklyn, 11249, USA","$$$$ · Scandinavian, Contemporary",40.712275,-73.966483
Chavela’s,"736 Franklin Ave., Brooklyn, 11238, USA",$$ · Mexican,40.673455,-73.957196
Foul Witch,"15 Avenue A, New York, 10009, USA",$$$$ · Contemporary,40.722774,-73.986181
Apropos Restaurant at The Abbey Inn,"900 Fort Hill Rd., Peekskill, 10566, USA","$$$$ · American, Contemporary",41.292544,-73.928894
Carne Mare,"89 South St., New York, 10038, USA","$$$$ · Steakhouse, Italian",40.705739,-74.001809
L'inizio,"698 Saw Mill River Rd., Ardsley, 10502, USA","$$$ · Italian, Italian-American",41.01256,-73.847483
Café Mars,"272 3rd Ave., Brooklyn, 11215, USA","$$$ · Contemporary, Italian",40.677875,-73.985974
Phayul,"37-59 74th St., Queens, 11372, USA",$$ · Tibetan,40.747342,-73.891398
Bohemian Spirit,"321 E. 73rd St., New York, 10021, USA",$$ · Czech,40.769045,-73.956465
The Cookery,"39 Chestnut St., Dobbs Ferry, 10522, USA","$$ · Italian, Gastropub",41.014175,-73.876582
