name,address,cuisine,latitude,longitude
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Joomak,"401 West St., New York, 10014, USA",$$$$ · Contemporary,40.733631,-74.009861
Adda,"107 1st Ave., New York, 10003, USA",$$$ · Indian,40.726833,-73.986188
Hungry Thirsty,"407 Smith St., Brooklyn, 11231, USA",$$$ · Thai,40.67794,-73.996067
6 Restaurant,"481 Court St., Brooklyn, 11231, USA","$$$$ · European, Contemporary",40.67634,-73.998549
Oliver's,"1639 S. Wabash Ave., Chicago, 60616, USA",$$$ · Contemporary,41.859064,-87.625205
Maison Passerelle,"1 Wall St., New York, 10005, USA","$$$$ · French, African",40.7072,-74.01186
Papa San,"501 W. 34th St., New York, 10001, USA","$$$ · Japanese, Peruvian",40.754917,-73.999386
Nadu,"2518 N. Lincoln Ave., Chicago, 60614, USA",$$ · Indian,41.927588,-87.652148
Kabawa,"8 Extra Pl., New York, 10003, USA",$$$$ · Caribbean,40.724836,-73.991626
Glin Thai Bistro,"330 Myrtle Ave., Brooklyn, 11205, USA",$$$ · Thai,40.693105,-73.973286
Taqueria El Chato,"620 Manhattan Ave., Brooklyn, 11222, USA",$ · Mexican,40.723601,-73.950467
Enso,"117 Berry St., Brooklyn, 11249, USA","$$$$ · Japanese, Sushi",40.718765,-73.958688
Yemenat,"7721 5th Ave., Brooklyn, 11209, USA",$ · Middle Eastern,40.627279,-74.023268
Tama,"1952 N. Damen Ave., Chicago, 60647, USA",$$$ · Mediterranean Cuisine,41.917434,-87.677893
Café Kestrel,"293 Van Brunt St., Brooklyn, 11231, USA","$$$$ · Contemporary, European",40.6787,-74.011033
Atelier Manna,"1076 N. Coast Hwy. 101, Ste. 101, Encinitas, 92024, USA",$$ · Californian,33.067408,-117.303535
Restaurant Ki,"111 San Pedro St., Los Angeles, 90012, USA",$$$$ · Korean Contemporary,34.050225,-118.241285
Pho Momma,"9555 Folsom Blvd., Ste. A, Sacramento, 95827, USA",$ · Vietnamese,38.571342,-121.339757
Stationæry,"3 N.E. of 6th Ave., San Carlos St., Carmel-by-the-Sea, 93921, USA","$$$ · American, Californian",36.539486,-121.905876
Leopardo,"460 S. La Brea Ave., Los Angeles, 90036, USA","$$$$ · Californian, Seafood",34.065185,-118.343827
Seline,"3110 Main St., Ste. 132, Santa Monica, 90405, USA","$$$$ · Californian, Contemporary",33.997791,-118.479641
The Wild,"201 Spear St., #120, San Francisco, 94105, USA","$$$$ · Contemporary, Californian",,
Manuela,"907 E. 3rd St., Los Angeles, 90013, USA","$$$ · American, Californian",34.04611,-118.23458
Bar Le Côte,"2375 Alamo Pintado Ave., Los Olivos, 93441, USA",$$$ · Seafood,34.665783,-120.115651
Citrin,"1104 Wilshire Blvd., Santa Monica, 90401, USA",$$$$ · Californian,34.024382,-118.491322
Be.Stéak.Ă,"1887 S. Bascom Ave., Campbell, 95008, USA","$$$ · Steakhouse, Contemporary",37.288806,-121.932583
Chifa,"4374 Eagle Rock Blvd., Los Angeles, 90041, USA","$$ · Fusion, Chinese",34.123677,-118.221042
Mattei's Tavern,"2350 Railway Ave., Los Olivos, 93441, USA",$$$$ · American,34.667461,-120.117284
Six Test Kitchen,"3075 Blue Rock Rd., Paso Robles, 93446, USA",$$$$ · Contemporary,35.575554,-120.689735
Damian,"2132 E. 7th Pl., Los Angeles, 90021, USA","$$$ · Mexican, Contemporary",34.033375,-118.228725
Anajak Thai,"14704 Ventura Blvd., Sherman Oaks, 91403, USA","$$$ · Thai, Contemporary",34.151521,-118.453381
LA Cha Cha Chá,"812 E. 3rd St., Los Angeles, 90013, USA","$$$$ · Mexican, Latin American",34.04567,-118.23572
Chuan Yu,"388 9th St., Oakland, 94607, USA","$$ · Chinese, Sichuan",37.800592,-122.27105
Found Oyster,"4880 Fountain Ave., Los Angeles, 90029, USA",$$$ · Seafood,34.095272,-118.295838
Spinning Bones,"1205 Park St., Alameda, 94501, USA",$$ · Californian,37.761149,-122.24579
Rêve Bistro,"960 Moraga Rd., Lafayette, 94549, USA",$$$ · French,37.890385,-122.118122
Chef Tony,"1108 S. Baldwin Ave., Ste. B5, Arcadia, 91007, USA","$$ · Chinese, Dim Sum",34.12637,-118.05474
Auro,"400 Silverado Trl., Calistoga, 94515, USA","$$$$ · Contemporary, French",38.584627,-122.567835
Miller & Lux,"700 Terry A. Francois Blvd., San Francisco, 94158, USA","$$$$ · Steakhouse, American",37.768182,-122.38646
Gucci Osteria da Massimo Bottura,"347 N. Rodeo Dr., Beverly Hills, 90210, USA","$$$$ · Italian, Contemporary",34.068486,-118.402705
Fish & Bird Sousaku Izakaya,"2451 Shattuck Ave., Berkeley, 94704, USA","$$ · Japanese, Izakaya",37.864755,-122.267028
Élephante,"1332 2nd St., Santa Monica, 90401, USA",$$$ · Contemporary,34.015235,-118.497991
Caruso's,"1773 S. Jameson Ln., Montecito, 93108, USA","$$$$ · Californian, Italian",34.419601,-119.628197
Selby's,"3001 El Camino Real, Atherton, 94061, USA","$$$$ · American, Classic Cuisine",37.468555,-122.210413
Mirra,"1954 W. Armitage Ave., Chicago, 60622, USA","$$ · Fusion, Mexican",41.917936,-87.677358
Laliko,"80 Carmine St., New York, 10014, USA",$$ · Central Asian,40.729436,-74.004928
Mango Bay,"271 Adelphi St., Brooklyn, 11205, USA",$$$ · Caribbean,40.689405,-73.970916
Taqueria Chingón,"817 W. Fulton Market, Chicago, 60607, USA",$ · Mexican,41.88656,-87.648225
Jeong Yuk Jeom,"621 S. Western Ave., Ste. 100, Los Angeles, 90005, USA","$$$ · Korean, Beef",34.062791,-118.309425
Utzutzu,"1428 Park St., Alameda, 94501, USA","$$$$ · Japanese, Sushi",37.764845,-122.242015
Khom Loi,"7385 Healdsburg Ave., Sebastopol, 95472, USA",$$ · Thai,38.405097,-122.830465
Lola Gaspar,"211 W. 2nd St., Santa Ana, 92701, USA",$$ · Mexican,33.746441,-117.869078
Pasjoli,"2732 Main St., Santa Monica, 90405, USA","$$$$ · French, Contemporary",34.000174,-118.482093
MAMA Oakland,"388 Grand Ave., Oakland, 94610, USA","$$ · Italian, Contemporary",37.809155,-122.254538
Top Hatters Kitchen,"855 MacArthur Blvd., San Leandro, 94577, USA","$$ · Contemporary, Vietnamese",37.737288,-122.14184
Ernest,"1890 Bryant St., Ste. 100, San Francisco, 94110, USA",$$$ · Contemporary,37.7632,-122.410745
Tūmbi,"115 Santa Monica Blvd., Santa Monica, 90401, USA","$$ · Indian, Contemporary",34.014515,-118.49766
Los Carnalitos,"30200 Industrial Pkwy. S.W., Hayward, 94544, USA","$ · Mexican, Regional Cuisine",37.60879,-122.06455
Ettan,"518 Bryant St., Palo Alto, 94301, USA","$$$ · Indian, Californian",37.445431,-122.161319
Luscious Dumplings,"919 W. Duarte Rd., Monrovia, 91016, USA",$ · Chinese,34.131319,-118.01875
Killer Noodle,"2030 Sawtelle Blvd., Los Angeles, 90025, USA","$ · Japanese, Ramen",34.040298,-118.442883
Tacos Oscar,"420 40th St., Oakland, 94609, USA","$ · Mexican, Contemporary",37.8288,-122.260409
Serẽa Coastal Cuisine,"1500 Orange Ave., Coronado, 92118, USA","$$$$ · Seafood, Mediterranean Cuisine",32.680955,-117.178223
Nari,"1625 Post St., San Francisco, 94115, USA","$$$ · Thai, Contemporary",37.785456,-122.428614
Coasterra,"880 Harbor Island Dr., San Diego, 92101, USA","$$$ · Mexican, Seafood",32.72422,-117.18855
Bettina,"1014 Coast Village Rd., Santa Barbara, 93108, USA","$$ · Pizza, Italian",34.422591,-119.651558
Solare,"2820 Roosevelt Rd., San Diego, 92106, USA","$$ · Italian, Tuscan",32.737473,-117.21412
